Date;Open;High;Low;Close;Adj Close;Volume
01/11/2004;10.920.000;12.140.000;10.920.000;11.990.000;4.180.277;5579300
01/12/2004;12.070.000;12.580.000;11.760.000;12.370.000;4.312.762;6035900
01/01/2005;12.380.000;12.470.000;11.630.000;11.830.000;4.124.494;7798500
01/02/2005;11.800.000;12.740.000;11.790.000;12.300.000;4.328.470;6367900
01/03/2005;12.460.000;12.920.000;12.130.000;12.160.000;4.279.202;6508500
01/04/2005;12.190.000;12.330.000;11.500.000;11.600.000;4.082.135;5385400
01/05/2005;11.700.000;12.110.000;11.420.000;11.470.000;4.074.749;7109800
01/06/2005;11.380.000;11.740.000;11.280.000;11.580.000;4.113.827;4157800
01/07/2005;11.660.000;12.400.000;11.260.000;12.310.000;4.373.162;3262800
01/08/2005;12.410.000;12.720.000;12.000.000;12.330.000;4.421.319;6502800
01/09/2005;12.420.000;13.280.000;12.420.000;13.170.000;4.722.529;5729500
01/10/2005;13.070.000;13.170.000;12.410.000;12.690.000;4.550.409;7235100
01/11/2005;12.610.000;12.940.000;12.250.000;12.690.000;4.590.818;5572000
01/12/2005;12.770.000;13.300.000;12.520.000;13.190.000;4.771.701;4874100
01/01/2006;13.380.000;14.360.000;13.280.000;14.270.000;5.162.412;6561800
01/02/2006;14.260.000;14.720.000;13.880.000;14.620.000;5.330.733;7090200
01/03/2006;14.770.000;14.800.000;14.020.000;14.610.000;5.327.087;7567600
01/04/2006;14.620.000;15.380.000;14.060.000;15.340.000;5.593.259;7133900
01/05/2006;15.480.000;15.700.000;14.050.000;14.450.000;5.326.874;11070200
01/06/2006;14.330.000;14.690.000;13.090.000;14.620.000;5.389.542;8063300
01/07/2006;14.600.000;15.090.000;13.690.000;15.050.000;5.548.059;5004900
01/08/2006;14.850.000;15.680.000;14.720.000;15.570.000;5.792.771;8571800
01/09/2006;15.550.000;15.960.000;15.080.000;15.790.000;5.874.622;11733000
01/10/2006;15.800.000;17.340.000;15.720.000;17.120.001;6.369.443;8508900
01/11/2006;17.290.001;18.690.001;16.870.001;18.280.001;6.854.513;11359300
01/12/2006;18.379.999;18.920.000;17.820.000;18.660.000;6.997.003;8875300
01/01/2007;19.200.001;19.240.000;18.219.999;18.870.001;7.075.747;12875400
01/02/2007;18.840.000;19.379.999;18.049.999;18.540.001;7.004.463;10766300
01/03/2007;17.860.001;18.299.999;16.930.000;17.830.000;6.736.223;18311600
01/04/2007;17.889.999;18.910.000;17.620.001;17.690.001;6.683.330;14887400
01/05/2007;17.790.001;19.230.000;17.530.001;19.200.001;7.358.312;16110300
01/06/2007;19.530.001;19.559.999;18.110.001;18.379.999;7.044.048;13271900
01/07/2007;18.549.999;19.870.001;18.219.999;18.600.000;7.128.360;13200100
01/08/2007;18.760.000;19.540.001;17.059.999;18.270.000;7.065.004;20799600
